Lifetime,Time
2900,1599462484.6
320,1599462513.87
720,1599462855.58
2860,1599463280.6
280,1599464956.81
4000,1599464975.3
3040,1599466728.26
700,1599466906.12
1780,1599467282.55
920,1599467565.97
1740,1599467901.63
640,1599468097.67
1440,1599469647.8
520,1599471738.51
660,1599472558.42
2660,1599472761.34
900,1599473213.23
3220,1599474059.82
280,1599474602.75
10660,1599474612.06
180,1599474811.43
780,1599475870.35
4040,1599478567.0
4000,1599479600.99
2520,1599480261.77
200,1599480509.65
960,1599480580.76
260,1599480901.82
9260,1599485043.0
2220,1599485339.06
1280,1599485953.45
780,1599487704.9
2260,1599489366.56
1000,1599489417.51
4240,1599491404.32
2280,1599491556.33
300,1599492954.71
11580,1599493382.46
420,1599495212.3
1100,1599496060.2
400,1599496923.34
1340,1599497157.67
2060,1599497587.88
9340,1599497665.55
5000,1599497780.1
3400,1599498072.81
3300,1599500088.89
5280,1599500117.84
1920,1599500748.98
1500,1599501300.5
3180,1599501576.02
220,1599502444.33
1080,1599502505.8
1660,1599503031.47
1300,1599503569.12
540,1599504823.36
940,1599504910.67
380,1599505092.17
1800,1599505723.36
2080,1599507398.47
700,1599508353.12
4900,1599508366.57
120,1599508725.34
3180,1599508725.34
1760,1599509648.65
2420,1599511046.56
940,1599511068.32
3240,1599512149.59
760,1599512199.11
3480,1599512488.86
5300,1599513135.56
7800,1599513208.9
2680,1599514657.37
2180,1599515137.38
2400,1599515351.11
5500,1599515993.59
1420,1599517191.93
3280,1599517602.5
880,1599517641.32
7940,1599517720.24
980,1599519248.84
1320,1599519399.62
1160,1599520715.72
3720,1599520940.35
1700,1599521513.36
2280,1599521997.79
1600,1599524181.94
4060,1599524780.66
1760,1599525733.97
9060,1599526047.11
5060,1599526086.81
220,1599526127.76
4760,1599527010.41
860,1599527047.87
80,1599527306.23
2620,1599528953.94
1620,1599529330.99
6280,1599530471.97
380,1599530489.68
340,1599532572.23
440,1599534291.33
360,1599534665.12
2520,1599535634.72
780,1599536403.92
1260,1599536713.81
1280,1599537474.76
8240,1599537479.86
760,1599538087.96
1580,1599538433.87
6620,1599538724.12
440,1599538847.58
1320,1599539786.18
16380,1599540524.71
2820,1599541182.38
1460,1599542223.99
900,1599543432.8
1420,1599544955.18
320,1599545982.04
980,1599547280.99
6800,1599547757.02
5480,1599547912.92
1000,1599550055.84
420,1599551448.79
760,1599551760.55
720,1599553090.84
380,1599555126.69
7160,1599555319.43
620,1599556097.23
2600,1599557077.96
1920,1599557106.35
40,1599557636.03
1180,1599559195.8
80,1599559410.61
200,1599559431.14
1960,1599559580.32
2340,1599562550.01
1640,1599563143.68
380,1599563945.24
5320,1599568369.23
2180,1599569026.01
1940,1599569425.34
2300,1599570984.56
1840,1599572133.47
760,1599572287.75
1860,1599572705.69
5640,1599573296.54
4760,1599573553.34
2140,1599575131.75
420,1599575493.88
180,1599576057.77
2360,1599576774.83
1900,1599577180.69
1860,1599578067.34
160,1599578106.25
1620,1599578344.62
7800,1599578544.97
660,1599583381.54
800,1599583620.67
240,1599586542.39
4100,1599586769.03
160,1599587134.37
640,1599587873.49
6100,1599588877.27
2300,1599589055.25
1940,1599590077.3
1680,1599592584.36
640,1599592592.05
3620,1599592622.6
1400,1599593386.77
560,1599594193.58
800,1599595739.05
4160,1599595919.63
2640,1599596013.88
2640,1599596652.48
9340,1599597492.63
1540,1599597622.03
3740,1599597635.35
